P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
3.69,-,44.45,-,0.27,-0.34,-,-1.40%,0.90%,-,0.90%
1.17,-,4.68,-,0.87,-0.03,-,-10.80%,6.20%,45.40%,18.50%
,,,,,,,,,,
1.23,25.09,15.88,2.76,0.00,1.68,1.90%,5.20%,7.20%,-28.80%,1.10%
0.02,-,-,-,0.13,-4.96,-,-2.70%,2.60%,125.60%,-
-,-,14.52,-,-,-1.84,-,74.90%,-7.10%,-408.40%,1.00%
2.15,19.56,14.22,1.63,0.30,1.04,-,12.00%,7.30%,286.30%,0.20%
-,-,-,-,-,-1.17,-,-,32.10%,-,1.04%
,,,,,,,,,,
13.96,-,-,-,0.31,-2.27,-,-,-70.80%,-38.30%,64.68%
,,,,,,,,,,
0.08,5.17,1.16,-,0.00,0.39,-,-,4.30%,-,-
0.69,-,-,-,0.00,-2.06,-,-41.60%,-,-67.20%,0.60%
0.92,2.67,7.50,0.67,0.48,8.04,-,33.90%,14.20%,791.90%,46.50%
16.60,-,203.18,-,0.00,-0.93,-,-35.70%,-36.60%,-3.40%,1.80%
0.81,1.67,-,-,0.02,3.90,-,-,48.60%,-1.10%,-
1.19,-,-,-,0.00,-2.51,-,-48.70%,-,-56.10%,40.01%
1.40,-,-,-,0.00,-2.27,-,-250.70%,-409.80%,10.70%,2.70%
,,,,,,,,,,
,,,,,,,,,,
0.76,-,-,-,0.00,-3.22,-,-60.90%,-,43.90%,11.90%
1.55,-,28.24,-,0.00,-0.88,-,-22.20%,-21.80%,-11.90%,4.90%
,,,,,,,,,,
,,,,,,,,,,
0.77,10.69,4.14,-,0.01,0.70,-,7.10%,-,43.30%,8.28%
0.12,-,-,-,0.00,-17.21,-,-127.00%,-,-390.20%,6.45%
0.27,-,-,-,0.00,-6.64,-,-671.50%,-,35.90%,9.44%
0.86,15.09,4.31,1.51,1.01,0.39,2.03%,-,7.70%,-,4.90%
0.28,-,-,-,0.11,-3.93,-,-16.60%,-11.90%,30.70%,3.60%
3.67,-,9.39,-,6.80,-5.38,8.59%,-39.30%,10.20%,-,25.60%
1.57,-,9.56,-,0.00,-1.38,4.91%,-3.40%,1.10%,95.60%,0.50%
-,0.08,-,-,-,17.89,-,-23.10%,142.40%,-100.80%,4.58%
1.31,-,-,-,0.07,-0.73,-,-28.40%,-27.80%,35.90%,10.30%
-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,4.26%,-,-,-,-
-,-,-,-,-,-,2.34%,-,-,-,-
6.62,-,-,-,0.00,-0.30,-,-6.90%,-6.70%,64.70%,1.70%
3.66,31.21,24.01,3.12,0.79,0.87,-,11.90%,7.60%,28.80%,0.10%
-,-,-,-,-,-,7.46%,-,-,-,-
0.61,8.89,-,-,0.00,1.59,2.82%,7.20%,27.50%,-42.00%,4.80%
,,,,,,,,,,
0.12,-,-,-,0.00,-14.16,-,-34.30%,-34.40%,33.80%,0.30%
0.69,-,-,-,0.00,-2.38,-,-69.30%,-,18.60%,0.40%
,,,,,,,,,,
2.00,1.34,3.74,-,0.00,4.21,-,-,170.50%,-127.50%,9.10%
3.30,-,-,-,1.56,-2.57,-,-,-,-81.80%,-
0.37,-,-,-,0.00,-1.48,-,-48.80%,-54.50%,-57.10%,0.10%
,,,,,,,,,,
,,,,,,,,,,
