,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
ELTK,2.73,14.58,9.61,-,0.09,0.70,-,19.50%,9.40%,146.80%,25.30%,1.07,4.10M,137.20%,143.30%,10.00%,-,41.40M
,,,,,,,,,,,,,,,,,,
KOPN,5.21,-,-,-,0.00,-0.22,-,-61.90%,-90.60%,-64.30%,0.90%,-0.07,-20.60M,74.78%,59.27%,-44.20%,-,46.60M
GS$D,,,,,,,,,,,,,,,,,,
PLNT,-,55.97,26.44,-,-,1.25,-,-57.20%,10.00%,37.70%,0.10%,2.65,105.60M,10.02%,-10.06%,10.90%,0.00%,972.30M
CAF,-,-,-,-,-,-6.11,1.59%,-,-,-,-,-,-,-17.20%,-6.76%,-,-,-
LBPH,2.20,-,-,-,0.00,-2.56,-,-63.50%,-,0.10%,21.06%,-1.83,-45.80M,83.21%,136.04%,-,-,-
INKT,-,-,-,-,-,-0.77,-,-665.40%,-,27.90%,1.20%,-0.81,-25.90M,31.19%,1.53%,-,-,-
BITS,-,-,-,-,-,-,0.47%,-,-,-,-,-,-,12.05%,69.70%,-,-,-
XYF,0.30,1.97,-,0.07,0.57,2.17,-,18.30%,8.80%,147.80%,0.68%,-,114.20M,46.95%,35.76%,22.80%,0.00%,501.10M
AFYA,1.78,16.65,1.61,2.76,0.86,0.80,-,11.20%,10.60%,-12.80%,42.94%,8.24,72.30M,24.74%,-14.79%,14.40%,0.00%,502.20M
RZB,,,,,,,,,,,,,,,,,,
LIFWZ,,,,,,,,,,,,,,,,,,
HT,0.36,1.91,-,0.07,0.95,3.13,3.34%,-,0.80%,33.50%,20.24%,-0.69,129.80M,-40.18%,-29.69%,-,19.43%,399.20M
GILD,4.70,17.86,10.99,7.76,1.20,4.42,3.80%,26.70%,13.10%,5215.80%,0.10%,7.19,5.58B,35.40%,-7.91%,20.60%,66.00%,27.04B
RELL,1.68,10.03,15.34,0.50,0.00,1.83,1.30%,18.30%,13.30%,110.40%,2.50%,1.20,26.50M,25.54%,-14.96%,10.00%,15.70%,265.50M
RORO,-,-,-,-,-,-,0.20%,-,-,-,-,-,-,22.42%,24.10%,-,-,-
KIM$M,,,,,,,,,,,,,,,,,,
MAX,-,-,-,-,-,-1.42,-,988.00%,-82.80%,-35.10%,3.90%,-0.62,-60.90M,4.12%,-3.52%,-14.20%,-,428.10M
BOAC,4.84,85.56,-,-,0.00,0.12,-,5.90%,-,-95.80%,-,-,10.70M,0.81%,1.42%,-,0.00%,-
ENER,1.31,87.06,-,-,0.00,0.12,-,1.50%,-,353.90%,0.30%,-,3.00M,5.25%,2.69%,-,0.00%,-
SPNS,3.58,28.51,19.36,3.07,0.14,0.95,3.50%,13.40%,11.50%,2.00%,71.60%,1.40,52.90M,23.62%,47.56%,11.00%,73.00%,481.80M
BNGO,0.96,-,-,-,0.02,-0.48,-,-53.40%,-52.70%,-16.80%,1.82%,-0.37,-139.80M,-48.97%,-50.01%,-,-,29.50M
