,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,EPS next Y,Income,Perf Year,Perf YTD,Profit Margin,Payout,Sales
AVAV,3.69,-,44.45,-,0.27,-0.34,-,-1.40%,0.90%,-,0.90%,2.06,-8.50M,-3.66%,7.96%,-1.70%,-,487.10M
SGRP,1.17,-,4.68,-,0.87,-0.03,-,-10.80%,6.20%,45.40%,18.50%,0.25,-0.70M,-5.42%,-12.69%,-1.00%,-,261.30M
PWUP,,,,,,,,,,,,,,,,,,
SCHL,1.23,25.09,15.88,2.76,0.00,1.68,1.90%,5.20%,7.20%,-28.80%,1.10%,2.65,62.10M,11.08%,6.35%,3.70%,39.10%,1.69B
QH,0.02,-,-,-,0.13,-4.96,-,-2.70%,2.60%,125.60%,-,-,-1.90M,-50.23%,46.02%,-0.30%,-,539.70M
SABR,-,-,14.52,-,-,-1.84,-,74.90%,-7.10%,-408.40%,1.00%,0.22,-602.00M,-58.57%,-49.51%,-22.40%,-,2.69B
LMB,2.15,19.56,14.22,1.63,0.30,1.04,-,12.00%,7.30%,286.30%,0.20%,1.43,11.30M,286.83%,100.29%,2.20%,0.00%,503.00M
QSG,-,-,-,-,-,-1.17,-,-,32.10%,-,1.04%,-,-,-,-27.96%,-,-,390.70M
ENTF,,,,,,,,,,,,,,,,,,
HCTI,13.96,-,-,-,0.31,-2.27,-,-,-70.80%,-38.30%,64.68%,-,-10.90M,-67.74%,45.74%,-,-,44.70M
BWAQU,,,,,,,,,,,,,,,,,,
CAN,0.08,5.17,1.16,-,0.00,0.39,-,-,4.30%,-,-,1.74,68.70M,-44.32%,-2.43%,-,0.00%,618.60M
ELYM,0.69,-,-,-,0.00,-2.06,-,-41.60%,-,-67.20%,0.60%,-0.70,-54.30M,-15.81%,-24.52%,-,-,-
GLNG,0.92,2.67,7.50,0.67,0.48,8.04,-,33.90%,14.20%,791.90%,46.50%,2.86,872.40M,-18.75%,-9.26%,-,0.00%,267.70M
SPT,16.60,-,203.18,-,0.00,-0.93,-,-35.70%,-36.60%,-3.40%,1.80%,0.21,-50.70M,-20.56%,-25.12%,-18.70%,-,271.60M
MOLN,0.81,1.67,-,-,0.02,3.90,-,-,48.60%,-1.10%,-,-0.78,130.20M,-7.94%,-3.82%,-,0.00%,209.40M
ANTX,1.19,-,-,-,0.00,-2.51,-,-48.70%,-,-56.10%,40.01%,-3.73,-48.60M,-65.39%,-47.01%,-,-,-
SLGG,1.40,-,-,-,0.00,-2.27,-,-250.70%,-409.80%,10.70%,2.70%,-0.37,-84.80M,-52.96%,59.37%,-,-,19.20M
IWTR,,,,,,,,,,,,,,,,,,
YOTA,,,,,,,,,,,,,,,,,,
PYXS,0.76,-,-,-,0.00,-3.22,-,-60.90%,-,43.90%,11.90%,-1.67,-108.60M,29.72%,141.04%,-,-,-
AIRG,1.55,-,28.24,-,0.00,-0.88,-,-22.20%,-21.80%,-11.90%,4.90%,0.20,-9.00M,-43.99%,-11.98%,-12.00%,-,74.80M
GIA,,,,,,,,,,,,,,,,,,
ALSA,,,,,,,,,,,,,,,,,,
HHRS,0.77,10.69,4.14,-,0.01,0.70,-,7.10%,-,43.30%,8.28%,1.80,27.60M,-26.96%,-29.03%,-,0.00%,763.62M
ADD,0.12,-,-,-,0.00,-17.21,-,-127.00%,-,-390.20%,6.45%,-,-77.20M,-76.33%,39.52%,-,-,16.50M
CMND,0.27,-,-,-,0.00,-6.64,-,-671.50%,-,35.90%,9.44%,-,-9.80M,-96.82%,-81.02%,-,-,-
NMRK,0.86,15.09,4.31,1.51,1.01,0.39,2.03%,-,7.70%,-,4.90%,1.37,72.60M,-49.07%,-27.85%,-,21.53%,2.55B
EHTH,0.28,-,-,-,0.11,-3.93,-,-16.60%,-11.90%,30.70%,3.60%,-0.62,-107.50M,-41.39%,32.95%,-28.80%,-,373.80M
FRG,3.67,-,9.39,-,6.80,-5.38,8.59%,-39.30%,10.20%,-,25.60%,3.10,-197.70M,-27.12%,22.17%,-4.50%,-,4.37B
KALU,1.57,-,9.56,-,0.00,-1.38,4.91%,-3.40%,1.10%,95.60%,0.50%,6.56,-21.80M,-40.69%,-20.29%,-0.70%,-,3.29B
UXIN,-,0.08,-,-,-,17.89,-,-23.10%,142.40%,-100.80%,4.58%,-0.27,42.90M,-68.17%,-51.04%,13.70%,0.00%,313.80M
TLS,1.31,-,-,-,0.07,-0.73,-,-28.40%,-27.80%,35.90%,10.30%,-0.36,-49.20M,-67.64%,-35.66%,-24.40%,-,201.90M
DAPP,-,-,-,-,-,-,-,-,-,-,-,-,-,-21.05%,110.52%,-,-,-
